,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
104,18851616,1428,123806077,Entire home/apt,,Toronto,,Tam O'Shanter-Sullivan (118),2,0.0,5,3.0,,71.0,,2017-07-10 13:02:37.290871,43.783152,-79.30539
105,18949981,1428,132123216,Entire home/apt,,Toronto,,West Hill (136),4,4.0,5,3.0,,79.0,,2017-07-10 13:02:37.267628,43.777573,-79.16848
106,11972982,1428,63972624,Entire home/apt,,Toronto,,Newtonbrook West (36),63,5.0,3,2.0,,68.0,,2017-07-10 13:02:34.717852,43.790676,-79.433767
107,19745771,1428,139120830,Entire home/apt,,Toronto,,Agincourt South-Malvern West (128),0,0.0,9,5.0,,72.0,,2017-07-10 13:02:14.678591,43.784199,-79.28539
108,13442888,1428,76729112,Entire home/apt,,Toronto,,Don Valley Village (47),43,4.5,4,2.0,,67.0,,2017-07-10 13:02:11.217124,43.783383,-79.34115600000001
109,13507122,1428,77504076,Entire home/apt,,Toronto,,North Riverdale (68),9,5.0,2,1.0,,56.0,,2017-07-10 13:00:59.583954,43.673071,-79.356259
110,13864155,1428,25903547,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),7,5.0,2,1.0,,52.0,,2017-07-10 12:58:59.331756,43.668611,-79.428099
111,14488875,1428,82779173,Entire home/apt,,Toronto,,Dovercourt-Wallace Emerson-Junction (93),3,4.5,3,1.0,,60.0,,2017-07-10 12:58:35.472601,43.670235,-79.424504
112,18515875,1428,124848499,Entire home/apt,,Toronto,,Stonegate-Queensway (16),3,4.0,6,2.0,,60.0,,2017-07-10 12:56:03.980527,43.627639,-79.511088
113,18877281,1428,36884716,Entire home/apt,,Toronto,,Islington-City Centre West (14),0,0.0,2,0.0,,61.0,,2017-07-10 12:55:59.512691,43.610234999999996,-79.56146700000001
114,17670310,1428,74179455,Entire home/apt,,Toronto,,Weston (113),0,0.0,2,1.0,,56.0,,2017-07-10 12:55:18.193321,43.698884,-79.51426500000001
115,10433926,1428,53741847,Entire home/apt,,Toronto,,Willowdale East (51),9,5.0,2,1.0,,56.0,,2017-07-10 12:55:17.216730,43.779319,-79.4137
116,2493569,1428,12028383,Entire home/apt,,Toronto,,Westminster-Branson (35),4,4.5,2,0.0,,54.0,,2017-07-10 12:55:15.029967,43.788015,-79.462932
117,3332196,1428,15621599,Entire home/apt,,Toronto,,Newtonbrook West (36),54,4.5,2,1.0,,56.0,,2017-07-10 12:55:12.226954,43.787172,-79.417699
118,16964756,1428,21737657,Entire home/apt,,Toronto,,Willowdale East (51),7,4.0,2,0.0,,45.0,,2017-07-10 12:55:08.199832,43.771710999999996,-79.412521
119,17422376,1428,112337242,Entire home/apt,,Toronto,,Centennial Scarborough (133),0,0.0,7,0.0,,56.0,,2017-07-10 12:55:02.654302,43.788519,-79.161111
120,6091835,1428,31614465,Entire home/apt,,Toronto,,Agincourt North (129),16,4.5,4,2.0,,60.0,,2017-07-10 12:54:59.126809,43.810873,-79.259619
121,16016928,1428,104155514,Entire home/apt,,Toronto,,Humewood-Cedarvale (106),12,5.0,2,1.0,,56.0,,2017-07-10 12:54:40.623423,43.685186,-79.423858
122,13882189,1428,21737657,Entire home/apt,,Toronto,,Willowdale East (51),19,4.5,2,0.0,,43.0,,2017-07-10 12:54:35.808567,43.772832,-79.41244300000001
